date,amount,account_id,user_id
2019-12-16,-29.09,1,112
2019-12-16,160.0,1,112
2019-12-16,-14.0,1,112
2019-12-17,-94.5,1,112
2019-12-17,50.0,1,112
2019-12-17,-21.11,1,112
2019-12-17,-1000.0,1,112
2019-12-17,-49.95,1,112
2019-12-17,295.98,1,112
2019-12-17,1761.37,1,112
2019-12-17,-600.0,1,112
2019-12-17,-10.0,1,112
2019-12-18,-0.8,1,112
2019-12-19,-0.65,1,112
2019-12-19,-300.0,1,112
2019-12-19,-16.1,1,112
2019-12-19,-0.99,1,112
2019-12-19,-2.35,1,112
2019-12-20,840.0,1,112
2019-12-23,-10.75,1,112
2019-12-23,-0.84,1,112
2019-12-23,-71.86,1,112
2019-12-23,-15.99,1,112
2019-12-23,-45.7,1,112
2019-12-24,99.0,1,112
2019-12-24,-2.36,1,112
2019-12-24,42.07,1,112
2019-12-27,43.45,1,112
2019-12-27,50.0,1,112
2019-12-27,95.0,1,112
2019-12-27,-1334.68,1,112
2019-12-30,-157.96,1,112
2019-12-30,97.0,1,112
2019-12-30,-30.92,1,112
2019-12-30,-3.0,1,112
2019-12-30,-0.87,1,112
2019-12-30,-20.0,1,112
2019-12-30,-7.5,1,112
2019-12-31,-29.08,1,112
2019-12-31,45.15,1,112
2019-12-31,-14.99,1,112
2020-01-02,-50.0,1,112
2020-01-02,-19.99,1,112
2020-01-02,-107.13,1,112
2020-01-02,-29.5,1,112
2020-01-02,45.0,1,112
2020-01-02,-23.98,1,112
2020-01-02,-24.4,1,112
2020-01-03,-9.99,1,112
2020-01-03,-48.32,1,112
2020-01-03,-46.14,1,112
2020-01-04,300.0,1,112
2020-01-06,-17.4,1,112
2020-01-06,545.0,1,112
2020-01-06,-27.7,1,112
2020-01-06,-51.3,1,112
2020-01-06,-400.0,1,112
2020-01-07,2300.0,1,112
2020-01-07,-1200.0,1,112
2020-01-07,-12.3,1,112
2020-01-07,-45.28,1,112
2020-01-07,59.44,1,112
2020-01-07,-41.81,1,112
2020-01-07,-25.18,1,112
2020-01-08,99.0,1,112
2020-01-08,-35.99,1,112
2020-01-09,-909.15,1,112
2020-01-10,-60.02,1,112
2020-01-10,91.0,1,112
2020-01-10,45.0,1,112
2020-01-13,-5.3,1,112
2020-01-13,-25.26,1,112
2020-01-13,210.0,1,112
2020-01-13,-64.67,1,112
2020-01-13,-160.0,1,112
2020-01-14,99.0,1,112
2020-01-14,-2.35,1,112
2020-01-15,260.0,1,112
2020-01-15,-500.0,1,112
2020-01-15,-37.16,1,112
2020-01-15,43.45,1,112
2020-01-16,-113.34,1,112
2020-01-16,-63.75,1,112
2020-01-20,-49.99,1,112
2020-01-20,-59.9,1,112
2020-01-21,-0.99,1,112
2020-01-21,216.24,1,112
2020-01-21,-0.7,1,112
2020-01-21,-89.17,1,112
2020-01-21,-16.1,1,112
2020-01-21,-13.9,1,112
2020-01-22,-400.0,1,112
2020-01-22,75.0,1,112
2020-01-22,-8.99,1,112
2020-01-22,700.0,1,112
2020-01-24,99.0,1,112
2020-01-24,-15.99,1,112
2020-01-24,-10.58,1,112
2020-01-28,480.0,1,112
2020-01-28,-690.0,1,112
2020-01-29,100.0,1,112
2020-01-30,-57.99,1,112
2020-01-30,103.49,1,112
2020-01-30,99.0,1,112
2020-01-31,650.0,1,112
2020-01-31,149.13,1,112
2020-02-03,-17.99,1,112
2020-02-03,-125.0,1,112
2020-02-03,-107.13,1,112
2020-02-04,52.85,1,112
2020-02-05,-27.7,1,112
2020-02-05,-6.64,1,112
2020-02-05,-41.81,1,112
